,병원명,주소,lat,lng
0,단국대학교병원부속병원,대한민국 충청남도 천안시 동남구 신안동 망향로 201 KR,36.8420156,127.1725085
1,순천향대학교병원,대한민국 충청남도 천안시 동남구 봉명동 순천향6길 31,36.8028806,127.1363643
2,천안충무병원,대한민국 충청남도 천안시 서북구 쌍용동 542-3,36.7972574,127.1311574
3,아산충무병원,대한민국 충청남도 아산시 모종동 432-1,36.7793814,127.0194596
4,충청남도서산의료원,대한민국 충청남도 서산시 중앙로 149 KR,36.7756106,126.4650989
5,논산백제병원,대한민국 충청남도 논산시 취암동 시민로294번길 14,36.1923478,127.0943895
6,당진종합병원,"대한민국 충청남도 당진시 시, 반촌로 5-15 KR",36.9042958,126.6844291
7,충청남도홍성의료원,대한민국 충청남도 홍성군 홍성읍 조양로 224,36.5992891,126.674393
8,충청남도천안의료원,대한민국 충청남도 천안시 동남구 봉명동 39-1,36.8047971,127.1387529
9,충청남도공주의료원,대한민국 충청남도 공주시 웅진동 무령로 77,36.4589918,127.1094561
10,보령아산병원,대한민국 충청남도 보령시 대천1동 죽성로 136,36.3809991,126.6227881
11,서산중앙병원,대한민국 충청남도 서산시 수석동 1-1,36.7810666,126.5034261
